Manga,Prediction 1,Prediction 2,Prediction 3
TaiyouNiSmash,MomoyamaHaikagura,MariaSamaNihaNaisyo,ToutaMairimasu
TapkunNoTanteisitsu,GarakutayaManta,WarewareHaOniDearu,TasogareTsushin
TasogareTsushin,Joouari,PLANET7,EienNoWith
TennenSenshiG,KuroidoGanka,Ningyoushi,AppareKappore
TensiNoHaneToAkumaNoShippo,HaruichibanNoFukukoro,Donburakokko,KimiHaBokuNoTaiyouDa
TetsuSan,ReveryEarth,EverydayOsakanaChan,MoeruOnisan_vol01
That'sIzumiko,RinToSiteSippuNoNaka,MagicStarGakuin,Donburakokko
TotteokiNoABC,YasasiiAkuma,HeiseiJimen,OL_Lunch
ToutaMairimasu,MomoyamaHaikagura,AkkeraKanjinchou,That'sIzumiko
TouyouKidan,MomoyamaHaikagura,ToutaMairimasu,AosugiruHaru
TsubasaNoKioku,MAD_STONE,YouchienBoueigumi,ParaisoRoad
UchiNoNyan'sDiary,MAD_STONE,UchuKigekiM774,UnbalanceTokyo
UchuKigekiM774,MAD_STONE,Hamlet,PsychoStaff
UltraEleven,MAD_STONE,ShimatteIkouze_vol01,OL_Lunch
UnbalanceTokyo,MomoyamaHaikagura,HinagikuKenzan,MAD_STONE
WarewareHaOniDearu,YoumaKourin,JijiBabaFight,TsubasaNoKioku
YamatoNoHane,MomoyamaHaikagura,SyabondamaKieta,ByebyeC-BOY
YasasiiAkuma,SamayoeruSyonenNiJunaiWo,SyabondamaKieta,HeiseiJimen
YouchienBoueigumi,ReveryEarth,Akuhamu,TetsuSan
YoumaKourin,ReveryEarth,GOOD_KISS_Ver2,Akuhamu
YukiNoFuruMachi,ReveryEarth,MomoyamaHaikagura,UchiNoNyan'sDiary
YumeiroCooking,OL_Lunch,ParaisoRoad,UchiNoNyan'sDiary
YumeNoKayoiji,MomoyamaHaikagura,YamatoNoHane,That'sIzumiko
