Manga,Prediction 1,Prediction 2,Prediction 3
HighschoolKimengumi_vol01,MadouTaiga,SonokiDeABC,Nekodama
HighschoolKimengumi_vol20,MadouTaiga,MayaNoAkaiKutsu,MariaSamaNihaNaisyo
HinagikuKenzan,MadouTaiga,MayaNoAkaiKutsu,HarukaRefrain
HisokaReturns,HarukaRefrain,GOOD_KISS_Ver2,MagicianLoad
JangiriPonpon,UchuKigekiM774,MoeruOnisan_vol01,MagicianLoad
JijiBabaFight,ToutaMairimasu,BakuretsuKungFuGirl,ReveryEarth
Joouari,RisingGirl,HealingPlanet,MiraiSan
Jyovolley,TotteokiNoABC,HisokaReturns,BokuHaSitatakaKun
KarappoHighschool,MadouTaiga,MayaNoAkaiKutsu,That'sIzumiko
KimiHaBokuNoTaiyouDa,MadouTaiga,MayaNoAkaiKutsu,AosugiruHaru
KoukouNoHitotachi,HarukaRefrain,TasogareTsushin,MiraiSan
KuroidoGanka,MadouTaiga,MagicianLoad,ParaisoRoad
KyokugenCyclone,MadouTaiga,ToutaMairimasu,YoumaKourin
LancelotFullThrottle,SaladDays_vol18,PsychoStaff,MariaSamaNihaNaisyo
LoveHina_vol01,KyokugenCyclone,DualJustice,MemorySeijin
LoveHina_vol14,KyokugenCyclone,MayaNoAkaiKutsu,Nekodama
MadouTaiga,KyokugenCyclone,YamatoNoHane,TapkunNoTanteisitsu
MAD_STONE,MadouTaiga,LancelotFullThrottle,MayaNoAkaiKutsu
MagicianLoad,KyokugenCyclone,ToutaMairimasu,ShimatteIkouze_vol01
MagicStarGakuin,KyokugenCyclone,HinagikuKenzan,ByebyeC-BOY
MariaSamaNihaNaisyo,KyokugenCyclone,HinagikuKenzan,YamatoNoHane
MayaNoAkaiKutsu,MAD_STONE,MariaSamaNihaNaisyo,UchuKigekiM774
MemorySeijin,EvaLady,HealingPlanet,SaladDays_vol18
MeteoSanStrikeDesu,KyokugenCyclone,Ningyoushi,That'sIzumiko
MiraiSan,KyokugenCyclone,LoveHina_vol01,KarappoHighschool
MisutenaideDaisy,PsychoStaff,HarukaRefrain,HighschoolKimengumi_vol20
MoeruOnisan_vol01,HarukaRefrain,AisazuNihaIrarenai,SyabondamaKieta
MoeruOnisan_vol19,MAD_STONE,Akuhamu,HighschoolKimengumi_vol20
MomoyamaHaikagura,MAD_STONE,MariaSamaNihaNaisyo,MagicStarGakuin
MukoukizuNoChonbo,MAD_STONE,LancelotFullThrottle,MariaSamaNihaNaisyo
MutekiBoukenSyakuma,MAD_STONE,MayaNoAkaiKutsu,MagicianLoad
Nekodama,MagicStarGakuin,PrayerHaNemurenai,MomoyamaHaikagura
NichijouSoup,KoukouNoHitotachi,MoeruOnisan_vol19,MagicianLoad
Ningyoushi,KyokugenCyclone,MariaSamaNihaNaisyo,MadouTaiga
OhWareraRettouSeitokai,MAD_STONE,MariaSamaNihaNaisyo,MagicianLoad
OL_Lunch,ShimatteIkouze_vol01,EverydayOsakanaChan,HinagikuKenzan
ParaisoRoad,MAD_STONE,MariaSamaNihaNaisyo,MadouTaiga
PikaruGenkiDesu,MAD_STONE,MariaSamaNihaNaisyo,MagicianLoad
PLANET7,PrismHeart,JijiBabaFight,YouchienBoueigumi
PlatinumJungle,MAD_STONE,MayaNoAkaiKutsu,ARMS
PrayerHaNemurenai,KyokugenCyclone,MariaSamaNihaNaisyo,Donburakokko
PrismHeart,MoeruOnisan_vol19,PsychoStaff,MoeruOnisan_vol01
PsychoStaff,GakuenNoise,SaladDays_vol18,PrismHeart
Raphael,MAD_STONE,MutekiBoukenSyakuma,RisingGirl
ReveryEarth,MAD_STONE,MariaSamaNihaNaisyo,TensiNoHaneToAkumaNoShippo
RinToSiteSippuNoNaka,MAD_STONE,NichijouSoup,That'sIzumiko
RisingGirl,SamayoeruSyonenNiJunaiWo,AosugiruHaru,That'sIzumiko
Saisoku,MAD_STONE,MariaSamaNihaNaisyo,MagicianLoad
SaladDays_vol01,MagicStarGakuin,MariaSamaNihaNaisyo,RinToSiteSippuNoNaka
SaladDays_vol18,OL_Lunch,PlatinumJungle,RinToSiteSippuNoNaka
SamayoeruSyonenNiJunaiWo,MAD_STONE,HaruichibanNoFukukoro,PrismHeart
SeisinkiVulnus,MAD_STONE,LancelotFullThrottle,TasogareTsushin
ShimatteIkouze_vol01,ShimatteIkouze_vol26,SonokiDeABC,MiraiSan
ShimatteIkouze_vol26,JijiBabaFight,Hamlet,HighschoolKimengumi_vol20
SonokiDeABC,MAD_STONE,LancelotFullThrottle,MukoukizuNoChonbo
SyabondamaKieta,MAD_STONE,DualJustice,TasogareTsushin
TaiyouNiSmash,MAD_STONE,MariaSamaNihaNaisyo,MagicianLoad
TapkunNoTanteisitsu,MAD_STONE,ShimatteIkouze_vol26,JijiBabaFight
TasogareTsushin,MAD_STONE,MariaSamaNihaNaisyo,UchuKigekiM774
TennenSenshiG,MAD_STONE,BakuretsuKungFuGirl,Joouari
TensiNoHaneToAkumaNoShippo,TotteokiNoABC,MagicianLoad,TaiyouNiSmash
TetsuSan,MAD_STONE,BEMADER_P,MiraiSan
That'sIzumiko,MeteoSanStrikeDesu,PlatinumJungle,MagicStarGakuin
TotteokiNoABC,MAD_STONE,TennenSenshiG,MadouTaiga
ToutaMairimasu,ShimatteIkouze_vol26,ShimatteIkouze_vol01,TaiyouNiSmash
TouyouKidan,MomoyamaHaikagura,MagicStarGakuin,HighschoolKimengumi_vol01
TsubasaNoKioku,MAD_STONE,MariaSamaNihaNaisyo,TapkunNoTanteisitsu
UchiNoNyan'sDiary,MAD_STONE,PrayerHaNemurenai,MadouTaiga
UchuKigekiM774,PlatinumJungle,RisingGirl,MagicStarGakuin
UltraEleven,MAD_STONE,MomoyamaHaikagura,RinToSiteSippuNoNaka
UnbalanceTokyo,MAD_STONE,HinagikuKenzan,Nekodama
WarewareHaOniDearu,MAD_STONE,MariaSamaNihaNaisyo,MadouTaiga
YamatoNoHane,TaiyouNiSmash,ParaisoRoad,TapkunNoTanteisitsu
YasasiiAkuma,YumeNoKayoiji,MagicianLoad,TaiyouNiSmash
YouchienBoueigumi,AosugiruHaru,JangiriPonpon,TapkunNoTanteisitsu
YoumaKourin,MAD_STONE,HarukaRefrain,Nekodama
YukiNoFuruMachi,MAD_STONE,MariaSamaNihaNaisyo,YamatoNoHane
YumeiroCooking,MAD_STONE,MariaSamaNihaNaisyo,TapkunNoTanteisitsu
YumeNoKayoiji,MomoyamaHaikagura,MagicianLoad,YamatoNoHane
