Manga,Prediction 1,Prediction 2,Prediction 3
MAD_STONE,UchuKigekiM774,ShimatteIkouze_vol26,SamayoeruSyonenNiJunaiWo
MagicianLoad,ShimatteIkouze_vol01,ToutaMairimasu,ShimatteIkouze_vol26
MagicStarGakuin,KimiHaBokuNoTaiyouDa,MukoukizuNoChonbo,RinToSiteSippuNoNaka
MariaSamaNihaNaisyo,MiraiSan,WarewareHaOniDearu,OhWareraRettouSeitokai
MayaNoAkaiKutsu,RisingGirl,HealingPlanet,Joouari
MemorySeijin,EvaLady,PlatinumJungle,AosugiruHaru
MeteoSanStrikeDesu,MAD_STONE,ReveryEarth,KyokugenCyclone
MiraiSan,TouyouKidan,OhWareraRettouSeitokai,YumeiroCooking
MisutenaideDaisy,BakuretsuKungFuGirl,MagicStarGakuin,MemorySeijin
MoeruOnisan_vol01,JijiBabaFight,WarewareHaOniDearu,YouchienBoueigumi
MoeruOnisan_vol19,ToutaMairimasu,Akuhamu,SonokiDeABC
MomoyamaHaikagura,KarappoHighschool,TouyouKidan,DollGun
MukoukizuNoChonbo,MisutenaideDaisy,NichijouSoup,HisokaReturns
MutekiBoukenSyakuma,LoveHina_vol14,GakuenNoise,TasogareTsushin
Nekodama,HighschoolKimengumi_vol01,LancelotFullThrottle,HanzaiKousyouninMinegishiEitarou
NichijouSoup,SamayoeruSyonenNiJunaiWo,Hamlet,MagicStarGakuin
Ningyoushi,GinNoChimera,PrayerHaNemurenai,HaruichibanNoFukukoro
OhWareraRettouSeitokai,MiraiSan,ToutaMairimasu,TsubasaNoKioku
OL_Lunch,YouchienBoueigumi,MoeruOnisan_vol19,ShimatteIkouze_vol26
ParaisoRoad,ToutaMairimasu,KoukouNoHitotachi,PikaruGenkiDesu
PikaruGenkiDesu,ParaisoRoad,MagicianLoad,TaiyouNiSmash
PLANET7,BEMADER_P,Donburakokko,Ningyoushi
PlatinumJungle,MemorySeijin,Joouari,AosugiruHaru
PrayerHaNemurenai,BEMADER_P,HaruichibanNoFukukoro,Ningyoushi
PrismHeart,PsychoStaff,KoukouNoHitotachi,ToutaMairimasu
PsychoStaff,PrismHeart,KoukouNoHitotachi,ToutaMairimasu
Raphael,That'sIzumiko,TasogareTsushin,Joouari
ReveryEarth,KuroidoGanka,HinagikuKenzan,SamayoeruSyonenNiJunaiWo
RinToSiteSippuNoNaka,Joouari,SeisinkiVulnus,TensiNoHaneToAkumaNoShippo
RisingGirl,SaladDays_vol18,GakuenNoise,EvaLady
Saisoku,SonokiDeABC,WarewareHaOniDearu,TapkunNoTanteisitsu
SaladDays_vol01,YoumaKourin,TensiNoHaneToAkumaNoShippo,MeteoSanStrikeDesu
SaladDays_vol18,MadouTaiga,PsychoStaff,PlatinumJungle
SamayoeruSyonenNiJunaiWo,ReveryEarth,YumeNoKayoiji,MAD_STONE
SeisinkiVulnus,SamayoeruSyonenNiJunaiWo,RinToSiteSippuNoNaka,PsychoStaff
ShimatteIkouze_vol01,OL_Lunch,MagicianLoad,MomoyamaHaikagura
ShimatteIkouze_vol26,MagicianLoad,TouyouKidan,ShimatteIkouze_vol01
SonokiDeABC,MariaSamaNihaNaisyo,TsubasaNoKioku,Arisa
SyabondamaKieta,Count3DeKimeteAgeru,TotteokiNoABC,KarappoHighschool
TaiyouNiSmash,HighschoolKimengumi_vol20,YasasiiAkuma,LoveHina_vol01
TapkunNoTanteisitsu,UltraEleven,TaiyouNiSmash,JijiBabaFight
TasogareTsushin,Raphael,GakuenNoise,UchuKigekiM774
TennenSenshiG,SyabondamaKieta,AppareKappore,KarappoHighschool
TensiNoHaneToAkumaNoShippo,HarukaRefrain,Jyovolley,GinNoChimera
TetsuSan,MiraiSan,YouchienBoueigumi,DollGun
That'sIzumiko,SeisinkiVulnus,MagicianLoad,GinNoChimera
TotteokiNoABC,Belmondo,SyabondamaKieta,Count3DeKimeteAgeru
ToutaMairimasu,ShimatteIkouze_vol26,MomoyamaHaikagura,MagicianLoad
TouyouKidan,HighschoolKimengumi_vol20,BokuHaSitatakaKun,PikaruGenkiDesu
TsubasaNoKioku,YukiNoFuruMachi,TapkunNoTanteisitsu,Count3DeKimeteAgeru
UchiNoNyan'sDiary,SamayoeruSyonenNiJunaiWo,MariaSamaNihaNaisyo,DualJustice
UchuKigekiM774,RisingGirl,NichijouSoup,HarukaRefrain
UltraEleven,DollGun,ShimatteIkouze_vol26,AppareKappore
UnbalanceTokyo,WarewareHaOniDearu,MadouTaiga,ShimatteIkouze_vol01
WarewareHaOniDearu,LoveHina_vol01,YumeiroCooking,KarappoHighschool
YamatoNoHane,PrismHeart,TotteokiNoABC,UnbalanceTokyo
YasasiiAkuma,That'sIzumiko,BokuHaSitatakaKun,YouchienBoueigumi
YouchienBoueigumi,TetsuSan,ShimatteIkouze_vol26,JangiriPonpon
YoumaKourin,KyokugenCyclone,PrismHeart,MisutenaideDaisy
YukiNoFuruMachi,Belmondo,BurariTessenTorimonocho,UnbalanceTokyo
YumeiroCooking,MiraiSan,YasasiiAkuma,HealingPlanet
YumeNoKayoiji,HinagikuKenzan,PikaruGenkiDesu,DualJustice
