Manga,Prediction 1,Prediction 2,Prediction 3
LoveHina_vol01,YouchienBoueigumi,HighschoolKimengumi_vol20,UltraEleven
LoveHina_vol14,GakuenNoise,MagicStarGakuin,RisingGirl
MadouTaiga,MariaSamaNihaNaisyo,HighschoolKimengumi_vol20,MoeruOnisan_vol19
MAD_STONE,UchuKigekiM774,JangiriPonpon,BokuHaSitatakaKun
MagicianLoad,MariaSamaNihaNaisyo,MoeruOnisan_vol19,BokuHaSitatakaKun
MagicStarGakuin,PsychoStaff,SaladDays_vol18,PlatinumJungle
MariaSamaNihaNaisyo,MagicianLoad,MoeruOnisan_vol19,BokuHaSitatakaKun
MayaNoAkaiKutsu,AosugiruHaru,ARMS,EvaLady
MemorySeijin,ARMS,AosugiruHaru,MayaNoAkaiKutsu
MeteoSanStrikeDesu,TensiNoHaneToAkumaNoShippo,KoukouNoHitotachi,Jyovolley
MiraiSan,MagicianLoad,MoeruOnisan_vol19,MoeruOnisan_vol01
MisutenaideDaisy,UchuKigekiM774,JangiriPonpon,MutekiBoukenSyakuma
MoeruOnisan_vol01,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol19
MoeruOnisan_vol19,MoeruOnisan_vol01,HighschoolKimengumi_vol20,BokuHaSitatakaKun
MomoyamaHaikagura,BurariTessenTorimonocho,OL_Lunch,BokuHaSitatakaKun
MukoukizuNoChonbo,Raphael,MutekiBoukenSyakuma,NichijouSoup
MutekiBoukenSyakuma,Joouari,SaladDays_vol18,TasogareTsushin
Nekodama,RisingGirl,Joouari,PlatinumJungle
NichijouSoup,TasogareTsushin,KoukouNoHitotachi,GOOD_KISS_Ver2
Ningyoushi,SaladDays_vol01,JangiriPonpon,UchuKigekiM774
OhWareraRettouSeitokai,MagicianLoad,MoeruOnisan_vol01,BokuHaSitatakaKun
OL_Lunch,MagicianLoad,MoeruOnisan_vol01,BokuHaSitatakaKun
ParaisoRoad,MagicianLoad,MoeruOnisan_vol01,AppareKappore
PikaruGenkiDesu,MagicianLoad,MoeruOnisan_vol01,BokuHaSitatakaKun
PLANET7,LancelotFullThrottle,MutekiBoukenSyakuma,ByebyeC-BOY
PlatinumJungle,ARMS,EvaLady,MayaNoAkaiKutsu
PrayerHaNemurenai,JangiriPonpon,MutekiBoukenSyakuma,UchuKigekiM774
PrismHeart,ARMS,AosugiruHaru,MayaNoAkaiKutsu
PsychoStaff,ARMS,MemorySeijin,EvaLady
Raphael,RisingGirl,SeisinkiVulnus,HealingPlanet
ReveryEarth,UchuKigekiM774,HighschoolKimengumi_vol01,KoukouNoHitotachi
RinToSiteSippuNoNaka,PlatinumJungle,RisingGirl,HealingPlanet
RisingGirl,PsychoStaff,PrismHeart,MemorySeijin
Saisoku,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol01
SaladDays_vol01,JangiriPonpon,MutekiBoukenSyakuma,UchuKigekiM774
SaladDays_vol18,HealingPlanet,PlatinumJungle,MayaNoAkaiKutsu
SamayoeruSyonenNiJunaiWo,JangiriPonpon,MukoukizuNoChonbo,GOOD_KISS_Ver2
SeisinkiVulnus,PsychoStaff,PrismHeart,HealingPlanet
ShimatteIkouze_vol01,MoeruOnisan_vol01,HighschoolKimengumi_vol20,BokuHaSitatakaKun
ShimatteIkouze_vol26,MagicianLoad,MoeruOnisan_vol01,AppareKappore
SonokiDeABC,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol01
SyabondamaKieta,YouchienBoueigumi,MariaSamaNihaNaisyo,MoeruOnisan_vol19
TaiyouNiSmash,MoeruOnisan_vol01,HighschoolKimengumi_vol20,BokuHaSitatakaKun
TapkunNoTanteisitsu,YouchienBoueigumi,BokuHaSitatakaKun,TetsuSan
TasogareTsushin,PlatinumJungle,PsychoStaff,RisingGirl
TennenSenshiG,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol01
TensiNoHaneToAkumaNoShippo,HighschoolKimengumi_vol01,EienNoWith,TasogareTsushin
TetsuSan,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol01
That'sIzumiko,PsychoStaff,EvaLady,PlatinumJungle
TotteokiNoABC,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol01
ToutaMairimasu,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol01
TouyouKidan,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol01
TsubasaNoKioku,MagicianLoad,HighschoolKimengumi_vol20,YouchienBoueigumi
UchiNoNyan'sDiary,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol01
UchuKigekiM774,Joouari,MutekiBoukenSyakuma,TasogareTsushin
UltraEleven,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol19
UnbalanceTokyo,MagicianLoad,HighschoolKimengumi_vol20,MoeruOnisan_vol01
WarewareHaOniDearu,JijiBabaFight,UltraEleven,ShimatteIkouze_vol01
YamatoNoHane,MagicianLoad,HighschoolKimengumi_vol20,ShimatteIkouze_vol01
YasasiiAkuma,MagicianLoad,HighschoolKimengumi_vol20,UltraEleven
YouchienBoueigumi,TennenSenshiG,TetsuSan,AppareKappore
YoumaKourin,ReveryEarth,JangiriPonpon,KoukouNoHitotachi
YukiNoFuruMachi,JijiBabaFight,HighschoolKimengumi_vol20,UltraEleven
YumeiroCooking,YouchienBoueigumi,BokuHaSitatakaKun,ShimatteIkouze_vol01
YumeNoKayoiji,MagicianLoad,HighschoolKimengumi_vol20,OL_Lunch
