Manga,Prediction 1,Prediction 2,Prediction 3
JijiBabaFight,OhWareraRettouSeitokai,MoeruOnisan_vol19,MoeruOnisan_vol01
Joouari,PrismHeart,PlatinumJungle,SeisinkiVulnus
Jyovolley,YukiNoFuruMachi,MukoukizuNoChonbo,DualJustice
KarappoHighschool,YukiNoFuruMachi,PikaruGenkiDesu,TetsuSan
KimiHaBokuNoTaiyouDa,Nekodama,Raphael,HighschoolKimengumi_vol01
KoukouNoHitotachi,PLANET7,Joouari,NichijouSoup
KuroidoGanka,NichijouSoup,MayaNoAkaiKutsu,AosugiruHaru
KyokugenCyclone,MomoyamaHaikagura,Ningyoushi,ARMS
LancelotFullThrottle,NichijouSoup,MemorySeijin,ARMS
LoveHina_vol01,YukiNoFuruMachi,YouchienBoueigumi,ToutaMairimasu
LoveHina_vol14,Raphael,MagicStarGakuin,RisingGirl
MadouTaiga,Donburakokko,AkkeraKanjinchou,HaruichibanNoFukukoro
MAD_STONE,Raphael,TaiyouNiSmash,ShimatteIkouze_vol01
MagicianLoad,ShimatteIkouze_vol01,TaiyouNiSmash,OL_Lunch
MagicStarGakuin,Nekodama,RisingGirl,SeisinkiVulnus
MariaSamaNihaNaisyo,MomoyamaHaikagura,YamatoNoHane,HarukaRefrain
MayaNoAkaiKutsu,AosugiruHaru,HealingPlanet,MemorySeijin
MemorySeijin,AosugiruHaru,PlatinumJungle,HeiseiJimen
MeteoSanStrikeDesu,HighschoolKimengumi_vol01,KarappoHighschool,MayaNoAkaiKutsu
MiraiSan,PikaruGenkiDesu,MagicianLoad,YasasiiAkuma
MisutenaideDaisy,GinNoChimera,MagicStarGakuin,Count3DeKimeteAgeru
MoeruOnisan_vol01,WarewareHaOniDearu,HighschoolKimengumi_vol20,KarappoHighschool
MoeruOnisan_vol19,PikaruGenkiDesu,MoeruOnisan_vol01,YamatoNoHane
MomoyamaHaikagura,YukiNoFuruMachi,YamatoNoHane,Donburakokko
MukoukizuNoChonbo,GOOD_KISS_Ver2,HarukaRefrain,NichijouSoup
MutekiBoukenSyakuma,PrismHeart,PsychoStaff,EienNoWith
Nekodama,AosugiruHaru,TasogareTsushin,MeteoSanStrikeDesu
NichijouSoup,SamayoeruSyonenNiJunaiWo,BEMADER_P,BakuretsuKungFuGirl
Ningyoushi,DollGun,Raphael,ToutaMairimasu
OhWareraRettouSeitokai,PikaruGenkiDesu,YumeiroCooking,ToutaMairimasu
OL_Lunch,YasasiiAkuma,SyabondamaKieta,ShimatteIkouze_vol01
ParaisoRoad,TotteokiNoABC,MoeruOnisan_vol19,TaiyouNiSmash
PikaruGenkiDesu,HighschoolKimengumi_vol20,TaiyouNiSmash,MeteoSanStrikeDesu
PLANET7,TensiNoHaneToAkumaNoShippo,Arisa,UchuKigekiM774
PlatinumJungle,AosugiruHaru,ARMS,MemorySeijin
PrayerHaNemurenai,Donburakokko,LoveHina_vol14,SyabondamaKieta
PrismHeart,ARMS,That'sIzumiko,AosugiruHaru
PsychoStaff,AosugiruHaru,MemorySeijin,EvaLady
Raphael,GinNoChimera,That'sIzumiko,EienNoWith
ReveryEarth,SamayoeruSyonenNiJunaiWo,YumeNoKayoiji,PrismHeart
RinToSiteSippuNoNaka,TasogareTsushin,MagicStarGakuin,RisingGirl
RisingGirl,MayaNoAkaiKutsu,EienNoWith,EvaLady
Saisoku,TouyouKidan,BokuHaSitatakaKun,TetsuSan
SaladDays_vol01,MutekiBoukenSyakuma,NichijouSoup,KyokugenCyclone
SaladDays_vol18,Donburakokko,AosugiruHaru,EvaLady
SamayoeruSyonenNiJunaiWo,SeisinkiVulnus,TouyouKidan,MayaNoAkaiKutsu
SeisinkiVulnus,TotteokiNoABC,RinToSiteSippuNoNaka,RisingGirl
ShimatteIkouze_vol01,MagicianLoad,TaiyouNiSmash,OL_Lunch
ShimatteIkouze_vol26,ShimatteIkouze_vol01,MoeruOnisan_vol19,JijiBabaFight
SonokiDeABC,NichijouSoup,YasasiiAkuma,JijiBabaFight
SyabondamaKieta,JijiBabaFight,MomoyamaHaikagura,YamatoNoHane
TaiyouNiSmash,ToutaMairimasu,ShimatteIkouze_vol01,YouchienBoueigumi
TapkunNoTanteisitsu,SamayoeruSyonenNiJunaiWo,MagicianLoad,YouchienBoueigumi
TasogareTsushin,PsychoStaff,PlatinumJungle,RisingGirl
TennenSenshiG,ShimatteIkouze_vol01,BakuretsuKungFuGirl,OL_Lunch
TensiNoHaneToAkumaNoShippo,SeisinkiVulnus,That'sIzumiko,PrayerHaNemurenai
TetsuSan,MariaSamaNihaNaisyo,BakuretsuKungFuGirl,AosugiruHaru
That'sIzumiko,RinToSiteSippuNoNaka,MagicStarGakuin,MayaNoAkaiKutsu
TotteokiNoABC,PikaruGenkiDesu,MagicianLoad,TouyouKidan
ToutaMairimasu,TaiyouNiSmash,ShimatteIkouze_vol01,YouchienBoueigumi
TouyouKidan,SamayoeruSyonenNiJunaiWo,PikaruGenkiDesu,OL_Lunch
TsubasaNoKioku,YasasiiAkuma,YumeiroCooking,MomoyamaHaikagura
UchiNoNyan'sDiary,SamayoeruSyonenNiJunaiWo,DollGun,HarukaRefrain
UchuKigekiM774,KoukouNoHitotachi,Jyovolley,EienNoWith
UltraEleven,YukiNoFuruMachi,EverydayOsakanaChan,ShimatteIkouze_vol26
UnbalanceTokyo,AosugiruHaru,SyabondamaKieta,ToutaMairimasu
WarewareHaOniDearu,JijiBabaFight,DualJustice,Nekodama
YamatoNoHane,SaladDays_vol18,ParaisoRoad,AosugiruHaru
YasasiiAkuma,That'sIzumiko,MomoyamaHaikagura,MagicianLoad
YouchienBoueigumi,JangiriPonpon,PikaruGenkiDesu,MariaSamaNihaNaisyo
YoumaKourin,TetsuSan,SonokiDeABC,HaruichibanNoFukukoro
YukiNoFuruMachi,UnbalanceTokyo,MagicianLoad,MariaSamaNihaNaisyo
YumeiroCooking,ShimatteIkouze_vol26,YamatoNoHane,PrayerHaNemurenai
YumeNoKayoiji,UnbalanceTokyo,MagicianLoad,ReveryEarth
