Manga,Prediction 1,Prediction 2,Prediction 3
MukoukizuNoChonbo,SaladDays_vol01,LoveHina_vol01,HighschoolKimengumi_vol01
MutekiBoukenSyakuma,GOOD_KISS_Ver2,NichijouSoup,Jyovolley
Nekodama,HaruichibanNoFukukoro,MadouTaiga,SeisinkiVulnus
NichijouSoup,Jyovolley,GOOD_KISS_Ver2,MutekiBoukenSyakuma
Ningyoushi,YukiNoFuruMachi,GinNoChimera,Raphael
OhWareraRettouSeitokai,AppareKappore,AisazuNihaIrarenai,HeiseiJimen
OL_Lunch,JijiBabaFight,MoeruOnisan_vol19,YouchienBoueigumi
ParaisoRoad,Arisa,HeiseiJimen,Jyovolley
PikaruGenkiDesu,HeiseiJimen,TsubasaNoKioku,HisokaReturns
PLANET7,Count3DeKimeteAgeru,DollGun,MisutenaideDaisy
PlatinumJungle,SamayoeruSyonenNiJunaiWo,Donburakokko,PrismHeart
PrayerHaNemurenai,UnbalanceTokyo,AkkeraKanjinchou,MeteoSanStrikeDesu
PrismHeart,RinToSiteSippuNoNaka,MagicStarGakuin,PlatinumJungle
PsychoStaff,SaladDays_vol18,Joouari,TasogareTsushin
Raphael,TensiNoHaneToAkumaNoShippo,Ningyoushi,YukiNoFuruMachi
ReveryEarth,BEMADER_P,KyokugenCyclone,HanzaiKousyouninMinegishiEitarou
RinToSiteSippuNoNaka,YumeNoKayoiji,MagicStarGakuin,SeisinkiVulnus
RisingGirl,MAD_STONE,TensiNoHaneToAkumaNoShippo,ByebyeC-BOY
Saisoku,SonokiDeABC,WarewareHaOniDearu,MisutenaideDaisy
SaladDays_vol01,GOOD_KISS_Ver2,MutekiBoukenSyakuma,NichijouSoup
SaladDays_vol18,PsychoStaff,Joouari,SeisinkiVulnus
SamayoeruSyonenNiJunaiWo,PlatinumJungle,MagicStarGakuin,Donburakokko
SeisinkiVulnus,Joouari,SaladDays_vol18,MadouTaiga
ShimatteIkouze_vol01,HighschoolKimengumi_vol20,TennenSenshiG,JangiriPonpon
ShimatteIkouze_vol26,GarakutayaManta,TsubasaNoKioku,PikaruGenkiDesu
SonokiDeABC,Saisoku,MisutenaideDaisy,WarewareHaOniDearu
SyabondamaKieta,KarappoHighschool,WarewareHaOniDearu,YoumaKourin
TaiyouNiSmash,MiraiSan,ToutaMairimasu,KuroidoGanka
TapkunNoTanteisitsu,TsubasaNoKioku,GarakutayaManta,TennenSenshiG
TasogareTsushin,EienNoWith,KyokugenCyclone,ReveryEarth
TennenSenshiG,HighschoolKimengumi_vol20,JangiriPonpon,ShimatteIkouze_vol01
TensiNoHaneToAkumaNoShippo,ByebyeC-BOY,Raphael,MAD_STONE
TetsuSan,YouchienBoueigumi,OL_Lunch,JijiBabaFight
That'sIzumiko,HealingPlanet,MemorySeijin,SamayoeruSyonenNiJunaiWo
TotteokiNoABC,Count3DeKimeteAgeru,KuroidoGanka,ByebyeC-BOY
ToutaMairimasu,TaiyouNiSmash,PrayerHaNemurenai,AkkeraKanjinchou
TouyouKidan,MukoukizuNoChonbo,LoveHina_vol01,TsubasaNoKioku
TsubasaNoKioku,TapkunNoTanteisitsu,GarakutayaManta,ShimatteIkouze_vol26
UchiNoNyan'sDiary,BurariTessenTorimonocho,LancelotFullThrottle,Count3DeKimeteAgeru
UchuKigekiM774,JangiriPonpon,KoukouNoHitotachi,TennenSenshiG
UltraEleven,HarukaRefrain,EverydayOsakanaChan,MoeruOnisan_vol01
UnbalanceTokyo,AkkeraKanjinchou,MAD_STONE,MeteoSanStrikeDesu
WarewareHaOniDearu,Saisoku,SyabondamaKieta,SonokiDeABC
YamatoNoHane,MayaNoAkaiKutsu,MemorySeijin,EvaLady
YasasiiAkuma,BakuretsuKungFuGirl,DollGun,MagicianLoad
YouchienBoueigumi,TetsuSan,OL_Lunch,JijiBabaFight
YoumaKourin,KarappoHighschool,SyabondamaKieta,SonokiDeABC
YukiNoFuruMachi,Ningyoushi,HanzaiKousyouninMinegishiEitarou,Raphael
YumeiroCooking,MariaSamaNihaNaisyo,WarewareHaOniDearu,SaladDays_vol01
YumeNoKayoiji,RinToSiteSippuNoNaka,SeisinkiVulnus,MagicStarGakuin
